dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.599996,2.600000,0.000020,0.001979,0.098966,4.948314,3.141593
0.020000,3.599917,2.600000,0.000099,0.005938,0.197933,4.948314,3.141593
0.020000,3.599739,2.600000,0.000277,0.011876,0.296899,4.948314,3.141593
0.020000,3.599422,2.600000,0.000594,0.019793,0.395865,4.948314,3.141593
0.020000,3.598927,2.600000,0.001089,0.029690,0.494831,4.948314,3.141593
0.020000,3.598215,2.600000,0.001801,0.041566,0.593798,4.948314,3.141593
0.020000,3.597245,2.600000,0.002771,0.055421,0.692764,4.948314,3.141593
0.020000,3.595978,2.600000,0.004038,0.071256,0.791730,4.948314,3.141593
0.020000,3.594375,2.600000,0.005641,0.089070,0.890696,4.948314,3.141593
0.020000,3.592396,2.600000,0.007620,0.108863,0.989663,4.948314,3.141593
0.020000,3.590001,2.600000,0.010015,0.130635,1.088629,4.948314,3.141593
0.020000,3.587150,2.600000,0.012866,0.154387,1.187595,4.948314,3.141593
0.020000,3.583805,2.600000,0.016211,0.180119,1.286562,4.948314,3.141593
0.020000,3.579926,2.600000,0.020090,0.207829,1.385528,4.948314,3.141593
0.020000,3.575472,2.600000,0.024544,0.237519,1.484494,4.948314,3.141593
0.020000,3.570405,2.600000,0.029611,0.269188,1.583460,4.948314,3.141593
0.020000,3.564685,2.600000,0.035331,0.302837,1.682427,4.948314,3.141593
0.020000,3.558272,2.600000,0.041744,0.338465,1.781393,4.948314,3.141593
0.020000,3.551127,2.600000,0.048889,0.376072,1.880359,4.948314,3.141593
0.020000,3.543209,2.600000,0.056807,0.415658,1.979325,4.948314,3.141593
0.020000,3.534481,2.600000,0.065535,0.457224,2.078292,4.948314,3.141593
0.020000,3.524901,2.600000,0.075115,0.500769,2.177258,4.948314,3.141593
0.020000,3.514430,2.600000,0.085586,0.546294,2.276224,4.948314,3.141593
0.020000,3.503029,2.600000,0.096987,0.593798,2.375191,4.948314,3.141593
0.020000,3.490658,2.600000,0.109358,0.643281,2.474157,4.948314,3.141593
0.020000,3.477298,2.600000,0.122718,0.692764,2.474157,0.000000,3.141593
0.020000,3.462948,2.600000,0.137068,0.742247,2.474157,0.000000,3.141593
0.020000,3.447608,2.600000,0.152408,0.791730,2.474157,0.000000,3.141593
0.020000,3.431279,2.600000,0.168737,0.841213,2.474157,0.000000,3.141593
0.020000,3.413959,2.600000,0.186057,0.890696,2.474157,-0.000000,3.141593
0.020000,3.395651,2.600000,0.204365,0.940180,2.474157,0.000000,3.141593
0.020000,3.376352,2.600000,0.223664,0.989663,2.474157,-0.000000,3.141593
0.020000,3.356064,2.600000,0.243952,1.039146,2.474157,0.000000,3.141593
0.020000,3.334786,2.600000,0.265230,1.088629,2.474157,0.000000,3.141593
0.020000,3.312519,2.600000,0.287497,1.138112,2.474157,0.000000,3.141593
0.020000,3.289262,2.600000,0.310754,1.187595,2.474157,-0.000000,3.141593
0.020000,3.265015,2.600000,0.335001,1.237078,2.474157,0.000000,3.141593
0.020000,3.239779,2.600000,0.360237,1.286562,2.474157,-0.000000,3.141593
0.020000,3.213553,2.600000,0.386463,1.336045,2.474157,0.000000,3.141593
0.020000,3.186337,2.600000,0.413679,1.385528,2.474157,0.000000,3.141593
0.020000,3.158132,2.600000,0.441884,1.435011,2.474157,-0.000000,3.141593
0.020000,3.128937,2.600000,0.471079,1.484494,2.474157,0.000000,3.141593
0.020000,3.098752,2.600000,0.501264,1.533977,2.474157,-0.000000,3.141593
