dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000173,4.000000,0.000198,0.019767,0.988372,49.418605,6.283112
0.020000,0.000963,4.000000,0.000988,0.059302,1.976744,49.418605,6.282774
0.020000,0.002545,3.999999,0.002570,0.098837,1.976744,0.000000,6.282099
0.020000,0.004917,3.999995,0.004942,0.138372,1.976744,0.000000,6.281086
0.020000,0.008080,3.999986,0.008105,0.177907,1.976744,-0.000000,6.279733
0.020000,0.012033,3.999969,0.012058,0.217442,1.976744,0.000000,6.278041
0.020000,0.016777,3.999940,0.016802,0.256977,1.976744,-0.000000,6.276007
0.020000,0.022312,3.999894,0.022337,0.296512,1.976744,0.000000,6.273630
0.020000,0.028637,3.999824,0.028663,0.336047,1.976744,-0.000000,6.270908
0.020000,0.035753,3.999726,0.035779,0.375581,1.976744,0.000000,6.267839
0.020000,0.043658,3.999591,0.043686,0.415116,1.976744,-0.000000,6.264421
0.020000,0.052354,3.999412,0.052384,0.454651,1.976744,0.000000,6.260652
0.020000,0.061840,3.999178,0.061872,0.494186,1.976744,0.000000,6.256529
0.020000,0.072115,3.998881,0.072151,0.533721,1.976744,0.000000,6.252048
0.020000,0.083178,3.998510,0.083221,0.573256,1.976744,-0.000000,6.247208
0.020000,0.095030,3.998053,0.095081,0.612791,1.976744,0.000000,6.242005
0.020000,0.107669,3.997497,0.107733,0.652326,1.976744,0.000000,6.236437
0.020000,0.121094,3.996829,0.121174,0.691860,1.976744,0.000000,6.230499
0.020000,0.135304,3.996034,0.135407,0.731395,1.976744,-0.000000,6.224190
0.020000,0.150298,3.995098,0.150430,0.770930,1.976744,0.000000,6.217506
0.020000,0.166074,3.994005,0.166244,0.810465,1.976744,0.000000,6.210444
0.020000,0.182630,3.992737,0.182849,0.850000,1.976744,-0.000000,6.203002
0.020000,0.199964,3.991275,0.200244,0.889535,1.976744,0.000000,6.195178
0.020000,0.218073,3.989603,0.218430,0.929070,1.976744,-0.000000,6.186968
0.020000,0.236954,3.987699,0.237407,0.968605,1.976744,0.000000,6.178372
0.020000,0.256604,3.985542,0.257174,1.008140,1.976744,0.000000,6.169387
0.020000,0.277017,3.983112,0.277733,1.047674,1.976744,-0.000000,6.160014
0.020000,0.298191,3.980386,0.299081,1.087209,1.976744,0.000000,6.150252
0.020000,0.320120,3.977340,0.321221,1.126744,1.976744,0.000000,6.140102
0.020000,0.342799,3.973951,0.344151,1.166279,1.976744,0.000000,6.129564
0.020000,0.366220,3.970193,0.367872,1.205814,1.976744,-0.000000,6.118642
0.020000,0.390377,3.966042,0.392384,1.245349,1.976744,0.000000,6.107338
0.020000,0.415263,3.961470,0.417686,1.284884,1.976744,0.000000,6.095657
0.020000,0.440869,3.956451,0.443779,1.324419,1.976744,-0.000000,6.083604
0.020000,0.467185,3.950958,0.470663,1.363953,1.976744,0.000000,6.071186
0.020000,0.494202,3.944962,0.498337,1.403488,1.976744,0.000000,6.058412
0.020000,0.521908,3.938435,0.526802,1.443023,1.976744,-0.000000,6.045292
0.020000,0.550293,3.931350,0.556058,1.482558,1.976744,0.000000,6.031836
0.020000,0.579343,3.923677,0.586105,1.522093,1.976744,0.000000,6.018057
0.020000,0.609045,3.915387,0.616942,1.561628,1.976744,-0.000000,6.003971
0.020000,0.639384,3.906452,0.648570,1.601163,1.976744,0.000000,5.989593
0.020000,0.670346,3.896843,0.680988,1.640698,1.976744,-0.000000,5.974942
0.020000,0.701913,3.886532,0.714198,1.680233,1.976744,0.000000,5.960038
0.020000,0.733884,3.875557,0.748000,1.700000,0.988372,-49.418605,5.944988
0.020000,0.765872,3.864035,0.782000,1.700000,0.000000,-49.418605,5.929989
0.020000,0.797685,3.852038,0.816000,1.700000,0.000000,0.000000,5.915141
0.020000,0.829317,3.839572,0.850000,1.700000,0.000000,0.000000,5.900457
0.020000,0.860763,3.826646,0.884000,1.700000,0.000000,0.000000,5.885950
